istasyon_no,istasyon_adi,hizmet_sekli,marka,sarj_agi_isletmecisi,sarj_istasyonu_isletmecisi,adres,soket_bilgileri
ŞRJ/9055,Emanet APT,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Çiğdem Mah Mahallesi Katırcı Cad Caddesi  No:151 Beykoz / İSTANBUL,
ŞRJ/9056,Bay Daniel Motors,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Zerzavatçı Mah. Mahallesi  No:9  Örnekköy Beykoz / İSTANBUL,
ŞRJ/9065,Öztürk Reklam,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Namık Kemal Mh Mahallesi Ümraniye / İSTANBUL,
ŞRJ/9066,Oto Metin,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Çubuklu Mah Mahallesi Beykoz / İSTANBUL,
ŞRJ/9067,Mert Mimarlık,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Rüzgarlibahçe Cumhuriyet Cad Caddesi Beykoz / İSTANBUL,
ŞRJ/9068,Görele Park,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Görele Mah. Mahallesi Beykoz / İSTANBUL,
ŞRJ/9311,Car Station,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Çubuklu Mahallesi Dedeoğlu Sokağı  No:1A  Bucak Beykoz / İSTANBUL,
ŞRJ/9312,Akın Oto Servis,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Cevizli Mahallesi Gençlik Sokağı  No:2 Maltepe / İSTANBUL,
ŞRJ/9389,Form Pres,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Çalıkhalil Mah. Mahallesi 24. Sokağı  Çalı Nilüfer / BURSA,
ŞRJ/9398,Doğankent 1,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Atatürk Mahallesi 5781 Sokağı  No:7 Seferihisar / İZMİR,
ŞRJ/9420,Car Potion Oto Market,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Acarlar Mah. Mahallesi Soğuksu Sok. Sokağı  No:53  Bucak Beykoz / İSTANBUL,
ŞRJ/9421,Yunus Emre Spor Tesisi,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Çiğdem Mahallesi Sarıkaya Caddesi  No:10  Bucak Beykoz / İSTANBUL,
ŞRJ/9541,Dr. Rotbalans,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Aydınlı Mahallesi Gürpınar Sokağı  No:20A Tuzla / İSTANBUL,
ŞRJ/9544,Yörük Makina,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Üçevler Mahallesi 62. Caddesi  No:8 Nilüfer / BURSA,
ŞRJ/9576,Anka Enerji,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,ANKA GRUP GIDA TARIM BESİCİLİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Konaklı Mahallesi Mavi Konak Sokağı  No:15 Alanya / ANTALYA,
ŞRJ/9612,Doğankent 2,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Atatürk Mahallesi 5781 Sokağı  No:7 Seferihisar / İZMİR,
ŞRJ/9708,Betem,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Fuatmorel Mahallesi  No:2869 Yenişehir / MERSİN,
ŞRJ/9711,Betem Menteş,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Menteş Mahallesi 2538 Sokağı  No:4 Yenişehir / MERSİN,
ŞRJ/9712,Özgecan Etüt,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Barbaros Mahallesi 2146 Sokağı  No:1A Yenişehir / MERSİN,
ŞRJ/9715,Özgecan Spor Kompleksi,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Barbaros Mahallesi 2181 Sokağı  No:8 Yenişehir / MERSİN,
ŞRJ/9872,Batu Elektroteknik,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,BATU ELEKTROTEKNİK ELEKTRİK İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,İstasyon Mahallesi Ankara Caddesi  No:99 Kartepe / KOCAELİ,
ŞRJ/10088,Atatürk Kültür Merkezi,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Limonluk Mahallesi Ali Kaya Mutlu Sokağı  No:11  Merkez Yenişehir / MERSİN,
